date;season;location;roost;roost type;box exp;other animals in roost;time;bat.id;bag nr;genus;species;transmitter;tx mass;tx attachment;tx time on;recap;mass w bag;mass of bag;mass of bat;sex;age;FA.right;FA.left;repro state;nipple ;testes;testes size;bucchal gland;streblids;streblid counts;mites;mite counts;other parasites;parasites coll?;wingpunch (Dna/MHC);wingpunch samples;isotopes;fur samples (isotopes);feces;foto;blood smear;blood sample;vaginal smear;teeth;Team;comment;;;;;
2021-04-22;spring;Kreuzlingen Seeburgpark;38;Wintertonne;;19+;day;NA;A16;Nyctalus;noctula;NA;NA;NA;NA;no;51;24;27;f;a;54.27;NA;nulli;NA;NA;NA;NA;yes;1;yes;3;no;no;no;no;no;no;yes;no;no;no;no;0;Lara, Dina, Edward, Jenna, Ellen;wing tear;6 bats flew out;;feces for Gisela;;
2021-04-22;spring;Kreuzlingen Seeburgpark;38;Wintertonne;;19+;day;NA;K37;Nyctalus;noctula;NA;NA;NA;NA;no;55;25;30;f;a;NA;54.73;plac;NA;NA;NA;NA;no;0;yes;2;no;no;no;no;no;no;yes;no;no;no;no;1;Lara, Dina, Edward, Jenna, Ellen;;6 bats flew out;;feces for Gisela;;
2021-04-22;spring;Kreuzlingen Seeburgpark;38;Wintertonne;;19+;day;NA;A11;Nyctalus;noctula;NA;NA;NA;NA;no;45;20;25;f;a;NA;52.97;nulli;NA;NA;NA;NA;no;0;no;0;no;no;yes;yes;no;no;yes;no;no;no;no;1;Lara, Dina, Edward, Jenna, Ellen;;7 bats flew out;;wingpunch and feces  for Gisela;;
2021-04-22;spring;Kreuzlingen Seeburgpark;38;Wintertonne;;19+;day;00079B133F;K19;Nyctalus;noctula;NA;NA;NA;NA;no;50;24;26;m;a;NA;55.39;scr;NA;s;NA;NA;no;1;no;0;no;no;yes;yes;yes;yes;yes;no;no;no;no;0;Lara, Dina, Edward, Jenna, Ellen;;7 bats flew out;;feces for Gisela;;
2021-04-22;spring;Kreuzlingen Seeburgpark;38;Wintertonne;;19+;day;00079977FE;A24;Nyctalus;noctula;NA;NA;NA;NA;no;48;23;25;m;a;54.49;NA;scr;NA;s;NA;s;no;0;no;0;no;no;yes;yes;yes;yes;yes;no;no;no;no;0;Lara, Dina, Edward, Jenna, Ellen;2 wingpunch;7 bats flew out;;wingpunch and feces  for Gisela;;
2021-04-22;spring;Kreuzlingen Seeburgpark;38;Wintertonne;;19+;day;00079A30BC;K24;Nyctalus;noctula;NA;NA;NA;NA;no;50;25;25;m;a;54.68;NA;scr;NA;s;NA;s;no;0;no;0;no;no;no;no;yes;yes;yes;no;no;no;no;0;Lara, Dina, Edward, Jenna, Ellen;;7 bats flew out;;wingpunch and feces  for Gisela;;
2021-04-22;spring;Kreuzlingen Seeburgpark;38;Wintertonne;;19+;day;NA;K11;Nyctalus;noctula;NA;NA;NA;NA;no;52;24.5;27.5;f;a;57.25;NA;plac;m;NA;NA;not visible;no;0;no;0;no;no;yes;yes;yes;yes;yes;no;no;no;no;1;Lara, Dina, Edward, Jenna, Ellen;;7 bats flew out;;wingpunch and feces  for Gisela;;
2021-04-22;spring;Kreuzlingen Seeburgpark;31;Wintertonne;;30+;day;NA;A5;Nyctalus;noctula;NA;NA;NA;NA;no;49;26;23;f;a;51.6;NA;plac;s;NA;NA;not visible;no;0;no;0;no;no;no;no;no;no;yes 2;no;no;no;no;1;Lara, Dina, Edward, Jenna, Ellen;;20 flew out;;feces for Gisela;;
2021-04-22;spring;Kreuzlingen Seeburgpark;31;Wintertonne;;30+;day;NA;A26;Nyctalus;noctula;NA;NA;NA;NA;no;46;20;26;f;a;52.55;NA;plac;s;NA;NA;not visible;no;0;no;0;no;no;no;no;no;no;yes;no;no;no;no;1;Lara, Dina, Edward, Jenna, Ellen;;20 flew out;;feces for Gisela;;
2021-04-22;spring;Kreuzlingen Seeburgpark;31;Wintertonne;;30+;day;00074F8EF2;K10;Nyctalus;noctula;NA;NA;NA;NA;yes;51;24;27;f;a;52.25;NA;plac;m;NA;NA;not visible;no;0;yes;1;no;no;yes;yes;yes;yes;yes;no;no;no;no;0;Lara, Dina, Edward, Jenna, Ellen;;20 flew out;;feces for Gisela;;
